Restaurant ,City,State,Nationality 
Demimbu,Wichita Falls,Texas,Tajik
Zoonoodle,Levittown,Pennsylvania,Kenyan
Som Gud Fud Chinese Food,Montgomery,Alabama,Bolivian
Yakidoo,Tucson,Arizona,Chinese
Yodel,Chicago,Illinois,New Zealander
Edgeify,Huntsville,Texas,Indonesian
Bluezoom,Chicago,Illinois,Danish (Dane)
McBurger Wendys,Boston,Massachusetts,Polish
Brainverse,Houston,Texas,Polish
Yodel,Wichita,Kansas,Moroccan
Meevee,Erie,Pennsylvania,Honduran
Photobug,Baltimore,Maryland,Australian
Halal Palace,Durham,North Carolina,American *
Brainverse,West Palm Beach,Florida,American *
Geba,Fort Myers,Florida,Turkish
Skilith,New Orleans,Louisiana,Ethiopian
Jersey Burger,Glendale,Arizona,Finnish
Ntags,Kansas City,Missouri,American *
Sushi Emporium,Pittsburgh,Pennsylvania,American *
Skiba,Las Vegas,Nevada,Egyptian
Igor's Vodka Shack,Houston,Texas,Ethiopian
Meevee,Scranton,Pennsylvania,Lithuanian
Fivechat,Mesa,Arizona,Ecuadorian
Halal Palace,Silver Spring,Maryland,Danish (Dane)
Trilith,Birmingham,Alabama,Filipino
Tekfly,Washington,District of Columbia,Ecuadorian
Brainsphere,Little Rock,Arkansas,Indonesian
Takeout Outfront stakehouse,Jersey City,New Jersey,Portuguese
Osaka Bay Fishery,Santa Barbara,California,Canadian
Yoveo,San Antonio,Texas,Portuguese
Halal Palace,Omaha,Nebraska,Peruvian
Bubblemix,Hartford,Connecticut,Costa Rican
Halal Palace,Falls Church,Virginia,Australian
Mybuzz,Trenton,New Jersey,Ghanaian
Brainsphere,Baltimore,Maryland,Estonian
Photobug,San Francisco,California,American *
Sushi Emporium,Dallas,Texas,Turkish
Topicstorm,San Francisco,California,Welsh
Zooxo,Sacramento,California,Cameroonian
Wordify,Charlottesville,Virginia,Puerto Rican
Wordify,New Orleans,Louisiana,Filipino
Horohito's Crab Shack King's,El Paso,Texas,Salvadorian
Roombo,Boulder,Colorado,Panamanian
Skimia,San Francisco,California,Tajik
Topicstorm,Washington,District of Columbia,Welsh
Voonix,Washington,District of Columbia,Egyptian
Halal Palace,Whittier,California,Puerto Rican
Pixope,Charleston,South Carolina,Uruguayan
Yodel,San Antonio,Texas,American *
Horohito's Crab Shack King's,Cincinnati,Ohio,Portuguese
Ruski Food Bazar,Palo Alto,California,Bolivian
Halal Palace,Hialeah,Florida,American *
South Border Tacos,Brooklyn,New York,Venezuelan
Meevee,Memphis,Tennessee,Cuban
Tagcat,Fort Pierce,Florida,Portuguese
Realcube,Washington,District of Columbia,Brazilian
Eare,Kansas City,Missouri,French
DabZ,Washington,District of Columbia,German
Feednation,Lansing,Michigan,Salvadorian
Igor's Vodka Shack,Raleigh,North Carolina,Haitian
Ruski Food Bazar,Seattle,Washington,Jordanian
Youtags,Houston,Texas,Turkish
Gigaclub,Topeka,Kansas,Moroccan
Demizz,Idaho Falls,Idaho,Israeli
Osaka Bay Fishery,Baltimore,Maryland,American *
Twitterbeat,Springfield,Illinois,Thai
Mydeo,Fresno,California,Swiss
Yodel,Tacoma,Washington,Swedish
Jabbercube,Minneapolis,Minnesota,Iranian
Skilith,Davenport,Iowa,Guatemalan
Ailane,Columbus,Georgia,Peruvian
Piast,Reston,Virginia,Greek
South Border Tacos,Houston,Texas,American *
The Curry Shack,Washington,District of Columbia,Korean
Yadel,Brockton,Massachusetts,Egyptian
Feedmix,Washington,District of Columbia,American *
The Curry Shack,Spring,Texas,Greek
Yodoo,Huntsville,Alabama,Canadian
Npath,Las Vegas,Nevada,Puerto Rican
Takeout Outfront stakehouse,Miami,Florida,Finnish
Mafioso Pizza Som,Gainesville,Georgia,Romanian
Skyble,Philadelphia,Pennsylvania,Italian
Roombo,Las Vegas,Nevada,Costa Rican
Thoughtsphere,Springfield,Illinois,New Zealander
Meevee,Corpus Christi,Texas,Romanian
Igor's Vodka Shack,Oakland,California,Polish
Topicware,Tacoma,Washington,Lithuanian
Igor's Vodka Shack,Saint Cloud,Minnesota,American *
Gud Fud Chinese Food,Montgomery,Alabama,Irish
Rooxo,New York City,New York,Finnish
Mybuzz,Washington,District of Columbia,Welsh
Wordify,Lafayette,Louisiana,Cameroonian
Ruski Food Bazar,Knoxville,Tennessee,Honduran
Topicware,Jacksonville,Florida,Australian
Yodel,Duluth,Minnesota,Portuguese
Yambee,Denver,Colorado,Portuguese
Voonix,Detroit,Michigan,Polish
Som Gud Fud Chinese Food,Columbus,Georgia,Vietnamese
Devpulse,Kansas City,Missouri,Ghanaian
Rhycero,Riverside,California,American *
Yambee,Amarillo,Texas,Salvadorian
Feedspan,Portland,Oregon,Ethiopian
Jersey Burger,Troy,Michigan,American *
Gud Fud Chinese Food,Los Angeles,California,Russian
Skimia,Washington,District of Columbia,Ukrainian
Kebab Palace Smith's Grill,Chicago,Illinois,Chinese
McBurger Wendys,San Diego,California,Estonian
Rhycero,Mesa,Arizona,Bolivian
Jersey Burger,Orlando,Florida,Lithuanian
Skimia,Pensacola,Florida,Ethiopian
Bubblemix,Trenton,New Jersey,Laotian
